dir_name,RGB,gamma_ed_RGB,LAB
3_4,"[75.68114217727543, 143.03033908387863, 85.36942296252231]","[0.07165902524562309, 0.27480469944646846, 0.09165718269588045]","[12.43, -18.94, 3.07]"
3_5,"[82.58893515764426, 149.11243307555026, 78.60737656157049]","[0.08562352747191983, 0.30104149542409053, 0.07739776131684097]","[12.87, -18.53, 4.17]"
3_6,"[80.01546698393813, 148.54788816180846, 81.56454491374183]","[0.08025149448319274, 0.2985473046893083, 0.08346081272165025]","[12.9, -18.58, 4.3]"
3_7,"[79.54015466983938, 147.24330755502677, 85.45746579417013]","[0.07928145273669068, 0.2928298409390577, 0.09185215771231738]","[12.65, -18.8, 3.27]"
3_8,"[78.09399167162404, 144.84176085663296, 82.07436049970256]","[0.07637226752488419, 0.28247301256914925, 0.08453311215202268]","[12.53, -18.59, 3.06]"
3_9,"[83.15645449137418, 151.21058893515763, 84.43367043426532]","[0.08683560036291767, 0.3104175638989906, 0.0895998297149946]","[12.98, -18.29, 4.22]"
4_1,"[79.76977989292088, 147.9714455681142, 81.70553242117786]","[0.07974922447608594, 0.29601303061542406, 0.08375655426371184]","[12.88, -18.61, 3.71]"
4_11,"[71.41344437834623, 131.0529446757882, 82.62403331350387]","[0.06374786752226377, 0.22716478606613308, 0.0856981997353117]","[11.54, -18.96, 1.98]"
4_12,"[72.37239738251041, 132.20999405116004, 84.14634146341463]","[0.06547857932181997, 0.23153721870346178, 0.08897356759592677]","[11.59, -19.32, 2.14]"
4_13,"[73.52706722189173, 134.18798334324808, 81.8923259964307]","[0.06759849630707751, 0.23912482315382955, 0.08414932076812158]","[11.78, -19.36, 2.4]"
4_4,"[81.91671624033313, 146.2736466389054, 77.93456276026176]","[0.08420068469706998, 0.28862192410146253, 0.07605542862561276]","[12.72, -18.54, 4.31]"
4_7,"[72.3753718024985, 133.96430696014278, 82.11421772754314]","[0.06548398963725804, 0.23825963444428758, 0.08461728088056941]","[11.89, -19.63, 2.8]"
4_8,"[75.44675788221296, 138.19095776323616, 86.70255800118977]","[0.0712104929605569, 0.2549189418165239, 0.09463539438609525]","[12.19, -18.71, 2.54]"
6_13,"[92.4622248661511, 155.31826293872695, 59.033313503866744]","[0.10814630504546087, 0.3292612938554472, 0.043782928437432526]","[13.88, -19.01, 8.76]"
6_14,"[84.8488994646044, 144.64961332540156, 66.2325996430696]","[0.0905093933336593, 0.28165375175411406, 0.054861094005636886]","[12.78, -17.19, 6.42]"
6_17,"[86.06603212373587, 149.3051754907793, 63.826293872694826]","[0.09320647126893107, 0.301895815003423, 0.05099594775028394]","[13.15, -18.39, 6.87]"
6_18,"[76.87091017251636, 143.25104104699582, 82.51041046995836]","[0.07396122342854783, 0.2757324174034744, 0.08545660159220948]","[12.31, -19.27, 3.31]"
6_19,"[88.50803093396787, 148.0321237358715, 57.29863176680547]","[0.09875765593262296, 0.29627920294430515, 0.04132928973583165]","[12.96, -18.18, 8.36]"
6_9,"[88.56930398572278, 154.52944675788223, 63.631171921475314]","[0.09889935577889819, 0.3255923396550599, 0.0506897338879815]","[13.55, -19.05, 7.91]"
10_1,"[103.85484830458061, 213.80130874479477, 119.57644259369422]","[0.1380233702405046, 0.6710377627441232, 0.18639936047875208]","[16.76, -24.81, 3.13]"
10_10,"[82.87983343248067, 153.41403926234383, 70.12016656751933]","[0.08624356857106175, 0.3204452217381904, 0.06145648009820925]","[13.15, -21.79, 6.4]"
10_11,"[71.5466983938132, 129.35157644259368, 64.49315883402737]","[0.06398674645966416, 0.22082353524044546, 0.052050621727789514]","[11.36, -20.58, 5.1]"
10_12,"[71.67638310529446, 128.8863771564545, 72.48483045806069]","[0.06421972744148981, 0.2191078786529175, 0.06568327064181122]","[11.05, -20.0, 3.72]"
10_13,"[104.94229625223082, 177.65318262938726, 56.47828673408685]","[0.14109898303263743, 0.4432738411436768, 0.04019760110141652]","[14.93, -21.51, 10.54]"
10_14,"[86.29565734681736, 155.0053539559786, 66.61808447352766]","[0.09372048985763286, 0.32780301671476597, 0.05549562886168133]","[13.59, -21.8, 7.29]"
10_15,"[68.0582986317668, 125.29625223081499, 67.26234384295063]","[0.057904082678306906, 0.20612912043518833, 0.05656563962645915]","[11.03, -19.75, 4.03]"
10_16,"[68.71564544913741, 125.70791195716835, 67.05770374776918]","[0.059023238463371916, 0.20759388994610842, 0.05622447343268614]","[11.08, -19.98, 3.97]"
10_17,"[97.2439024390244, 193.7328970850684, 102.9910767400357]","[0.12016964932975717, 0.5378185303445783, 0.135608509792217]","[15.65, -23.89, 4.11]"
10_18,"[86.71505056513979, 157.1861986912552, 62.28435455086258]","[0.09466356561658822, 0.3380452724716892, 0.04860537926322996]","[13.46, -22.01, 7.68]"
10_19,"[97.89767995240928, 191.75728732897085, 106.66091612135634]","[0.12187120504544734, 0.5256260011885409, 0.14604055791955636]","[15.43, -23.6, 3.21]"
10_2,"[101.88994646044021, 212.98334324806663, 124.09339678762642]","[0.13256605039615543, 0.665270138089833, 0.20188373575592924]","[16.69, -24.55, 2.61]"
10_20,"[100.34860202260559, 178.2385484830458, 67.3224271267103]","[0.12837474114088884, 0.4465297020042551, 0.05666603630402073]","[14.77, -21.08, 7.87]"
10_3,"[101.84533016061867, 212.1279000594884, 123.3896490184414]","[0.13244362242666033, 0.6592692974700755, 0.19942377953894108]","[16.59, -24.51, 2.62]"
10_4,"[104.45032718619869, 218.22605591909578, 118.82391433670435]","[0.13970265635168194, 0.702742366891501, 0.1838894809526596]","[16.98, -24.68, 3.11]"
10_5,"[95.93515764425936, 180.28256989886972, 103.54431885782273]","[0.11680529025498333, 0.4580079248422821, 0.13715235492056826]","[15.0, -22.95, 3.09]"
10_6,"[85.53955978584176, 153.5437239738251, 63.39559785841761]","[0.09203417651804431, 0.3210412028794888, 0.05032146933154621]","[13.29, -21.62, 7.53]"
10_7,"[68.85722784057108, 125.03390838786437, 63.54907792980369]","[0.05926592440850304, 0.20519880244955618, 0.050561221440396605]","[11.25, -19.8, 4.56]"
10_8,"[69.53123140987508, 126.35395597858418, 64.20820939916716]","[0.060429206210764815, 0.20990485486359858, 0.05159842155702077]","[11.1, -20.01, 4.73]"
10_9,"[105.86020226055919, 176.65080309339677, 52.491374182034505]","[0.1437259065400176, 0.4377307597932076, 0.03495636185864653]","[15.14, -20.97, 11.31]"
11_1,"[92.4187983343248, 151.9274241522903, 65.14396192742416]","[0.10804048776948587, 0.3136593987630953, 0.053092056138434214]","[13.45, -17.54, 7.51]"
11_10,"[88.77275431290899, 146.54193932183225, 61.35633551457466]","[0.09937070462690713, 0.2897826459630536, 0.04719878833711005]","[13.18, -17.24, 7.55]"
11_11,"[105.84949434860202, 176.59666864961332, 53.829268292682926]","[0.14369509890532597, 0.4374325581122824, 0.03666763298690505]","[15.21, -21.23, 11.08]"
11_12,"[95.64187983343248, 167.60499702558002, 57.02676977989292]","[0.1160590025021092, 0.38953622019373124, 0.040952217554980144]","[14.3, -21.73, 9.95]"
11_13,"[86.03212373587151, 149.43129089827482, 68.69125520523498]","[0.09313070667758445, 0.30245557873015366, 0.058981489865471734]","[13.21, -17.77, 6.92]"
11_14,"[84.57941701368233, 148.6276026174896, 66.60618679357525]","[0.08991847881819043, 0.29889875376689345, 0.05547598077264453]","[13.11, -18.53, 6.43]"
11_15,"[65.57108863771565, 129.70791195716836, 83.90243902439025]","[0.053782106526200746, 0.22214298435626317, 0.08844396760669117]","[11.23, -18.88, 1.21]"
11_16,"[108.06662700773349, 179.08328375966687, 54.7412254610351]","[0.15015637623733044, 0.45125272100022157, 0.03786152583309286]","[15.08, -20.95, 11.28]"
11_17,"[66.1743010113028, 128.08090422367638, 78.23438429506247]","[0.0547655007972291, 0.21615573248375108, 0.07665191133074602]","[11.2, -19.07, 2.07]"
11_18,"[91.9970255800119, 146.24747174301012, 60.458060678167755]","[0.10701589731004849, 0.28850882841936876, 0.045860174045840495]","[13.31, -16.07, 7.23]"
11_19,"[68.76204640095182, 135.38310529446758, 82.04878048780488]","[0.05910271020431152, 0.24377863659727964, 0.08447911915703099]","[11.61, -19.57, 2.35]"
11_2,"[100.33313503866746, 178.59845330160618, 69.04818560380726]","[0.128333080154747, 0.44853843008448735, 0.05959416499299623]","[14.84, -20.92, 8.56]"
11_20,"[86.46400951814397, 160.30458060678168, 72.33908387864366]","[0.09409839615077437, 0.35301102459616696, 0.06541800160323556]","[13.62, -22.42, 6.27]"
11_3,"[91.75550267697798, 149.2266508030934, 61.86317668054729]","[0.10643174125818915, 0.3015475883970925, 0.047964016979047244]","[13.43, -17.14, 7.86]"
11_4,"[81.95181439619274, 152.78941106484237, 70.73646638905413]","[0.08427463073089152, 0.3175837141801409, 0.06254231770708177]","[13.29, -22.78, 5.49]"
11_5,"[77.10291493158834, 139.9535990481856, 71.31290898274837]","[0.0744151058908034, 0.26206108652594867, 0.06356798674858863]","[12.53, -18.7, 4.43]"
11_6,"[102.40452111838192, 178.78941106484237, 66.28732897085068]","[0.13398282503666883, 0.44960635413525046, 0.05495092308117813]","[14.67, -21.36, 8.52]"
11_7,"[88.84116597263534, 145.5556216537775, 63.58953004164188]","[0.099529492889516, 0.285528872225164, 0.050624522632120104]","[13.07, -16.89, 6.76]"
11_8,"[86.16716240333135, 152.25223081499107, 63.332540154669836]","[0.09343264931275774, 0.31513478467733447, 0.0502231591416337]","[13.52, -19.16, 7.06]"
11_9,"[88.94646044021415, 147.70374776918501, 63.46400951814396]","[0.09977417777682678, 0.29484040645465603, 0.05042825346824474]","[13.4, -17.53, 7.64]"
