dir_name,RGB,,LAB,,,,,,,gamma_ed_RGB
11_13,"[86.03212373587151, 149.43129089827482, 68.69125520523498]",,"[13.21, -17.77, 6.92]",,,,,,,"[0.09313070667758445, 0.30245557873015366, 0.058981489865471734]"
11_14,"[84.57941701368233, 148.6276026174896, 66.60618679357525]",,"[13.11, -18.53, 6.43]",,,,,,,"[0.08991847881819043, 0.29889875376689345, 0.05547598077264453]"
11_15,"[65.57108863771565, 129.70791195716836, 83.90243902439025]",,"[11.23, -18.88, 1.21]",,,,,,,"[0.053782106526200746, 0.22214298435626317, 0.08844396760669117]"
11_16,"[108.06662700773349, 179.08328375966687, 54.7412254610351]",,"[15.08, -20.95, 11.28]",,,,,,,"[0.15015637623733044, 0.45125272100022157, 0.03786152583309286]"
11_17,"[66.1743010113028, 128.08090422367638, 78.23438429506247]",,"[11.2, -19.07, 2.07]",,,,,,,"[0.0547655007972291, 0.21615573248375108, 0.07665191133074602]"
11_18,"[91.9970255800119, 146.24747174301012, 60.458060678167755]",,"[13.31, -16.07, 7.23]",,,,,,,"[0.10701589731004849, 0.28850882841936876, 0.045860174045840495]"
11_19,"[68.76204640095182, 135.38310529446758, 82.04878048780488]",,"[11.61, -19.57, 2.35]",,,,,,,"[0.05910271020431152, 0.24377863659727964, 0.08447911915703099]"
11_2,"[100.33313503866746, 178.59845330160618, 69.04818560380726]",,"[14.84, -20.92, 8.56]",,,,,,,"[0.128333080154747, 0.44853843008448735, 0.05959416499299623]"
11_20,"[86.46400951814397, 160.30458060678168, 72.33908387864366]",,"[13.62, -22.42, 6.27]",,,,,,,"[0.09409839615077437, 0.35301102459616696, 0.06541800160323556]"
11_3,"[91.75550267697798, 149.2266508030934, 61.86317668054729]",,"[13.43, -17.14, 7.86]",,,,,,,"[0.10643174125818915, 0.3015475883970925, 0.047964016979047244]"
11_4,"[81.95181439619274, 152.78941106484237, 70.73646638905413]",,"[13.29, -22.78, 5.49]",,,,,,,"[0.08427463073089152, 0.3175837141801409, 0.06254231770708177]"
11_5,"[77.10291493158834, 139.9535990481856, 71.31290898274837]",,"[12.53, -18.7, 4.43]",,,,,,,"[0.0744151058908034, 0.26206108652594867, 0.06356798674858863]"
11_6,"[102.40452111838192, 178.78941106484237, 66.28732897085068]",,"[14.67, -21.36, 8.52]",,,,,,,"[0.13398282503666883, 0.44960635413525046, 0.05495092308117813]"
11_7,"[88.84116597263534, 145.5556216537775, 63.58953004164188]",,"[13.07, -16.89, 6.76]",,,,,,,"[0.099529492889516, 0.285528872225164, 0.050624522632120104]"
11_8,"[86.16716240333135, 152.25223081499107, 63.332540154669836]",,"[13.52, -19.16, 7.06]",,,,,,,"[0.09343264931275774, 0.31513478467733447, 0.0502231591416337]"
11_9,"[88.94646044021415, 147.70374776918501, 63.46400951814396]",,"[13.4, -17.53, 7.64]",,,,,,,"[0.09977417777682678, 0.29484040645465603, 0.05042825346824474]"
