dir_name,RGB,,LAB,,,,,gamma_ed_RGB
8_17,"[102.29446757882214, 221.09934562760262, 240.26948245092208]",,"[17.69, -1.6, -26.48]",,,,,"[0.13367907673432536, 0.7237888750821175, 0.8735873026899947]"
8_18,"[95.25817965496728, 222.30636525877455, 238.1743010113028]",,"[17.63, -2.0, -28.03]",,,,,"[0.11508683268858395, 0.7327383750760835, 0.8564124504061457]"
8_19,"[87.44616299821534, 208.99524092801903, 243.21713265913147]",,"[16.8, 0.28, -29.36]",,,,,"[0.09632078094168318, 0.6375642212518531, 0.898087614888586]"
8_2,"[38.24152290303391, 112.77156454491374, 234.57108863771563]",,"[8.62, 0.44, -19.57]",,,,,"[0.019599018623825633, 0.16442037418594607, 0.8273398873517184]"
8_20,"[99.87150505651398, 217.5086258179655, 241.62403331350387]",,"[17.59, -1.06, -26.83]",,,,,"[0.12709328896427474, 0.6975437290541255, 0.8847969879323176]"
8_3,"[41.23735871505057, 108.55264723378941, 179.15348007138607]",,"[8.62, -7.28, -14.39]",,,,,"[0.022404139391586756, 0.1515949516121699, 0.45164650218830604]"
8_4,"[27.55383700178465, 94.49018441403926, 220.622248661511]",,"[6.7, 2.29, -22.11]",,,,,"[0.01131856251657578, 0.11315529848452636, 0.7202690987870659]"
8_5,"[29.88102320047591, 94.07614515169541, 221.26769779892922]",,"[6.44, 2.49, -21.91]",,,,,"[0.012898984175326662, 0.11212187992801513, 0.7250332805369255]"
8_6,"[36.400951814396194, 104.97204045211184, 170.8167757287329]",,"[8.26, -7.85, -15.04]",,,,,"[0.01798322237204074, 0.14118366400342017, 0.4062730183897151]"
8_7,"[29.006543723973824, 90.4913741820345, 217.57525282569898]",,"[6.17, 3.83, -22.31]",,,,,"[0.012290973634678102, 0.10340464975251154, 0.6980255729852077]"
8_8,"[28.635336109458656, 96.6044021415824, 226.13801308744794]",,"[6.59, 1.68, -22.04]",,,,,"[0.012038043784571191, 0.11851873865110593, 0.7615744411584525]"
8_9,"[33.491374182034505, 99.51576442593694, 173.03628792385484]",,"[7.72, -5.9, -15.98]",,,,,"[0.015592708809625237, 0.1261426693581478, 0.4180796917760535]"
9_1,"[40.017251635931, 109.79119571683522, 209.80071386079715]",,"[8.62, -1.73, -18.05]",,,,,"[0.021235275933246825, 0.15529717601619183, 0.6431045936531823]"
9_10,"[35.684711481261154, 102.68768590124925, 205.4069006543724]",,"[7.87, 0.12, -18.86]",,,,,"[0.01737627358287435, 0.13476621044043582, 0.6132211136203792]"
